#UAVs | Initialization time | Number of stalls  	| Stall time  
#   Avg     	Std error   Avg     	Std error   Avg     Std error
1   1057,654543 84,993820   0,000000    0,000000    0,000000    0,000000
2   1064,572559 51,060598   0,000000    0,000000    0,000000    0,000000
3   1031,305942 39,732633   0,066667    0,000000    3,277856    0,000000
4   1012,819554 36,069350   0,325000    0,209395    16,296433   13,911381
5   824,841540  95,789930   7,186667    7,116938    191,082701  177,704536
6   826,540071  29,960122   7,722222    6,436904    200,640678  156,721106
7   929,581478  15,912583   7,371429    2,275190    440,528042  78,779199
8   966,582996  29,311979   19,225000   11,458090   1548,403490 489,610486
9   957,469609  19,133690   33,381481   7,015932    2298,420014 400,931253


# Random Way Point Walk
1   1214,615761 51,256151   0,000000    0,000000    0,000000        0,000000
2   1213,885265 174,618552  0,250000    0,246021    16,379466       43,975996
3   1219,772567 70,694761   2,011111    0,762030    174,624198      141,889389
4   1251,034369 65,153045   6,600000    2,221746    448,369002      178,363691
5   1290,612083 47,332953   14,633333   0,900413    2243,250384     121,927207
6   1281,604171 55,928953   14,844444   12,137877   2261,523403     471,128989
7   1444,817197 26,792288   75,609524   10,033083   7405,536240     680,497234
8   1281,905459 44,708845   43,025000   10,940679   6714,556315     1079,127068
9   1394,301271 53,762734   67,759259   18,248457   12869,763966    1301,205553
